,start_longitude,start_latitude,end_longitude,end_latitude,start_longitude_utm,start_latitude_utm,end_longitude_utm,end_latitude_utm,hour,daytype
19351,4.85691,52.37453,4.89933,52.36526,118888.48065700884,487538.3824643851,121770.18565795841,486486.681885591,23,weekday
19347,4.8838,52.39837,4.89499,52.3802,120738.01811740798,490177.84023893386,121485.87509487479,488150.950979931,23,weekday
19364,4.92036,52.354079999999996,4.85636,52.37075,123194.54264410396,485233.3277079836,118847.94697704457,487118.08335342666,23,weekday
19366,4.91171,52.3712,4.93414,52.35957,122617.7326405594,487141.98057256336,124137.16461143109,485838.20415721566,23,weekday
19360,4.87328,52.39005,4.92218,52.34599,120015.46377874474,489257.155054056,123312.76083315714,484332.4148936547,23,weekday
19365,4.89502,52.38013,4.90228,52.35137,121487.86483004155,488143.1486792283,121960.77241294278,484939.89302714646,23,weekday
19357,4.8855699999999995,52.387570000000004,4.91945,52.41315,120850.16517372642,488975.35932357755,123174.96848801579,491806.0623684594,23,weekday
19361,4.87085,52.39224,4.91441,52.36867,119851.78393336447,489501.9976768708,122799.77070555286,486859.28182558157,23,weekday
21181,4.86815,52.3527,4.8445599999999995,52.375440000000005,119636.48785161521,485103.9768267236,118048.25018085157,487645.85723899223,23,weekday
21185,4.88405,52.33616,4.94952,52.35508,120706.97877787362,483256.05850466696,125181.8278014794,485332.19509335724,23,weekday
21186,4.95378,52.309020000000004,4.8958699999999995,52.37036,125441.40769962543,480205.69676990405,121538.3695805385,487055.71506311244,23,weekday
21184,4.916,52.359970000000004,4.99266,52.35675,122901.76518461134,485890.5881522406,128121.82219599665,485501.1330555408,23,weekday
21175,4.92716,52.3563,4.98949,52.35669,123659.38066078763,485477.369268931,127905.83202841537,485495.6374267153,23,weekday
21191,4.86574,52.34405,4.88708,52.36976,119465.3708831948,484142.7363848473,120939.28491980942,486993.0520233325,23,weekday
21188,4.82081,52.38166,4.84823,52.371990000000004,116436.40882537453,488350.28601060004,118295.3033220535,487260.1357732468,23,weekday
21189,4.82085,52.38165,4.84814,52.372279999999996,116439.12353522045,488349.1520974939,118289.41432234485,487292.44754483266,23,weekday
21176,4.88735,52.35454,4.90983,52.35519,120945.99375005413,485299.50559125387,122477.96878313822,485361.5020889106,23,weekday
21187,4.81964,52.3764,4.84806,52.37238,116352.16543058357,487765.6678737296,118284.04912254584,487303.6143436711,23,weekday
21198,4.8197,52.38328,4.8942,52.40317,116362.24593541457,488531.1228844897,121449.47393143299,490707.0392653016,23,weekday
21194,4.87869,52.35913,4.9013599999999995,52.3459,120359.59616977026,485814.304957117,121894.01155289038,484331.7064360402,23,weekday
21195,4.8958699999999995,52.37036,4.90796,52.356320000000004,121538.3695805385,487055.71506311244,122351.40407452144,485488.0697432222,23,weekday
